종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1571","-138","-8.07","83355751840"
"054620","APS","KOSDAQ","금융","6500","-260","-3.85","119562436500"
"079810","APS이노베이션","KOSDAQ","전기·전자","6080","-40","-0.65","130890811520"
"265520","AP시스템","KOSDAQ","기계·장비","25850","-350","-1.34","389063722850"
"211270","AP위성","KOSDAQ","전기·전자","16840","-710","-4.05","253985999360"
"139050","BF랩스","KOSDAQ","IT 서비스","601","120","24.95","5195375151"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","4100","-95","-2.26","257344285900"
"083790","CG인바이츠","KOSDAQ","일반서비스","1170","15","1.30","89966192940"
"035760","CJ ENM","KOSDAQ","오락·문화","51300","-1700","-3.21","1124965600200"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","7750","-40","-0.51","101257330500"
"051500","CJ프레시웨이","KOSDAQ","유통","26850","100","0.37","318752084100"
"058820","CMG제약","KOSDAQ","제약","1633","-44","-2.62","241426284839"
"056730","CNT85","KOSDAQ","건설","514","0","0.00","38093149604"
"065770","CS","KOSDAQ","전기·전자","1584","0","0.00","30747229920"
"083660","CSA 코스믹","KOSDAQ","화학","359","-9","-2.45","22555775781"
"477760","DB금융스팩12호","KOSDAQ","금융","2230","0","0.00","13023200000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2950","-45","-1.50","46681534550"
"025440","DH오토웨어","KOSDAQ","전기·전자","870","-30","-3.33","42439664880"
"068790","DMS","KOSDAQ","기계·장비","8020","-340","-4.07","181013196480"
"241520","DSC인베스트먼트","KOSDAQ","금융","15780","-620","-3.78","419748000000"
"180400","DXVX","KOSDAQ","일반서비스","4245","50","1.19","417832938840"
"418620","E8","KOSDAQ","IT 서비스","1384","-61","-4.22","27473060168"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","5210","-90","-1.70","44936104120"
"050120","ES큐브","KOSDAQ","유통","2900","55","1.93","39335849400"
"214270","FSN","KOSDAQ","IT 서비스","1919","-43","-2.19","86843548615"
"032620","GC메디아이","KOSDAQ","IT 서비스","3920","10","0.26","204612784880"
"130500","GH신소재","KOSDAQ","섬유·의류","2470","-30","-1.20","35926278440"
"900290","GRT","KOSDAQ","금융","3720","-105","-2.75","300762000000"
"083450","GST","KOSDAQ","기계·장비","58000","1100","1.93","1068940000000"
"297890","HB솔루션","KOSDAQ","기계·장비","2585","-130","-4.79","189069262690"
"440290","HB인베스트먼트","KOSDAQ","금융","2140","0","0.00","58863760200"
"078150","HB테크놀러지","KOSDAQ","기계·장비","4530","510","12.69","420003099480"
"225530","HC보광산업","KOSDAQ","비금속","3310","15","0.46","120281186370"
"060560","HC홈센타","KOSDAQ","유통","3505","145","4.32","88984943505"
