종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4930","-160","-3.14","223096101870"
"006840","AK홀딩스","KOSPI","기타금융","8340","-50","-0.60","110484658740"
"027410","BGF","KOSPI","기타금융","5170","-120","-2.27","494855809470"
"282330","BGF리테일","KOSPI","유통","129100","-3300","-2.49","2231352264600"
"138930","BNK금융지주","KOSPI","기타금융","18130","-70","-0.38","5626229108290"
"001460","BYC","KOSPI","섬유·의류","49800","-1000","-1.97","311058270000"
"001465","BYC우","KOSPI","섬유·의류","34000","100","0.29","73230900000"
"001040","CJ","KOSPI","기타금융","215500","-9000","-4.01","6287643069000"
"079160","CJ CGV","KOSPI","오락·문화","4780","-185","-3.73","791483723820"
"00104K","CJ4우(전환)","KOSPI","기타금융","186700","-6300","-3.26","789089790400"
"000120","CJ대한통운","KOSPI","운송·창고","99700","-1600","-1.58","2274390696800"
"011150","CJ씨푸드","KOSPI","음식료·담배","2645","-55","-2.04","95036894585"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","13170","-80","-0.60","2634000000"
"001045","CJ우","KOSPI","기타금융","88600","-2200","-2.42","200255757800"
"097950","CJ제일제당","KOSPI","음식료·담배","230000","-11000","-4.56","3462462780000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","136700","-1100","-0.80","181460091100"
"000480","CR홀딩스","KOSPI","비금속","5020","-20","-0.40","235390259800"
"000590","CS홀딩스","KOSPI","기타금융","80200","0","0.00","92589456400"
"012030","DB","KOSPI","IT 서비스","1957","-13","-0.66","393697386881"
"005830","DB손해보험","KOSPI","보험","162000","-4800","-2.88","10611056538000"
"016610","DB증권","KOSPI","증권","15610","1100","7.58","662588132290"
"000990","DB하이텍","KOSPI","전기·전자","162000","300","0.19","7047743256000"
"000300","DH오토넥스","KOSPI","운송장비·부품","4200","0","0.00","174035631000"
"001530","DI동일","KOSPI","유통","28850","-1650","-5.41","597645665850"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","65500","-1900","-2.82","1372610402000"
"000215","DL우","KOSPI","화학","28750","-500","-1.71","48475806250"
"375500","DL이앤씨","KOSPI","건설","93100","1800","1.97","3602376301300"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","55600","1200","2.21","117424475600"
"37550K","DL이앤씨우","KOSPI","건설","30150","700","2.38","63733632750"
"007340","DN오토모티브","KOSPI","전기·전자","49500","-1600","-3.13","2896287817500"
"004840","DRB동일","KOSPI","화학","5110","-170","-3.22","98481780040"
"155660","DSR","KOSPI","금속","4480","-120","-2.61","71680000000"
"069730","DSR제강","KOSPI","금속","5600","-130","-2.27","80640000000"
"017860","DS단석","KOSPI","화학","24850","950","3.97","441314604150"
"092780","DYP","KOSPI","운송장비·부품","5050","-170","-3.26","66500723000"
"017940","E1","KOSPI","유통","104800","400","0.38","718928000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4200","-185","-4.22","1033573800000"
"383220","F&F","KOSPI","섬유·의류","78500","1900","2.48","3007105387500"
"007700","F&F홀딩스","KOSPI","기타금융","19940","-310","-1.53","779940477980"
"114090","GKL","KOSPI","오락·문화","11970","-410","-3.31","740412369900"
"078930","GS","KOSPI","기타금융","76900","-4000","-4.94","7145192568200"
"006360","GS건설","KOSPI","건설","35450","-500","-1.39","3033863820500"
"001250","GS글로벌","KOSPI","유통","4605","-60","-1.29","380067983220"
"007070","GS리테일","KOSPI","유통","22450","-600","-2.60","1876986466750"
"078935","GS우","KOSPI","기타금융","57500","400","0.70","102627495000"
"499790","GS피앤엘","KOSPI","기타금융","54500","-700","-1.27","1080780834500"
"012630","HDC","KOSPI","기타금융","27650","-450","-1.60","1651858585650"
"039570","HDC랩스","KOSPI","건설","8130","-210","-2.52","211035296130"
"089470","HDC현대EP","KOSPI","화학","5550","-230","-3.98","177045000000"
"267270","HD건설기계","KOSPI","기계·장비","187700","-3400","-1.78","9004741948600"
"009540","HD한국조선해양","KOSPI","기타금융","452500","-17000","-3.62","32024834990000"
"267250","HD현대","KOSPI","기타금융","285500","-17000","-5.62","22552525767500"
"443060","HD현대마린솔루션","KOSPI","일반서비스","260500","-9000","-3.34","11679116330000"
"071970","HD현대마린엔진","KOSPI","기계·장비","100100","-7000","-6.54","3395541649500"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","213500","-7500","-3.39","2391200000000"
"267260","HD현대일렉트릭","KOSPI","전기·전자","1389000","90000","6.93","50069470515000"
"329180","HD현대중공업","KOSPI","운송장비·부품","648000","-32000","-4.71","68014873800000"
"097230","HJ중공업","KOSPI","건설","27850","-950","-3.30","2514725330400"
"014790","HL D&I","KOSPI","건설","3390","-60","-1.74","128340657390"
"003580","HLB글로벌","KOSPI","유통","2145","-65","-2.94","108673218225"
"204320","HL만도","KOSPI","운송장비·부품","57000","-1000","-1.72","2676555840000"
"060980","HL홀딩스","KOSPI","기타금융","42000","-1250","-2.89","381311574000"
"011200","HMM","KOSPI","운송·창고","20550","-600","-2.84","19383540283500"
"035000","HS애드","KOSPI","일반서비스","8700","-290","-3.23","141006502800"
"002460","HS화성","KOSPI","건설","13750","-250","-1.79","139562500000"
"487570","HS효성","KOSPI","기타금융","68300","1700","2.55","254480814100"
"298050","HS효성첨단소재","KOSPI","화학","258500","-8500","-3.18","1158066558000"
"015360","INVENI","KOSPI","일반서비스","16180","-30","-0.19","440905000000"
"294870","IPARK현대산업개발","KOSPI","건설","22050","-550","-2.43","1453256626500"
"175330","JB금융지주","KOSPI","기타금융","26550","-800","-2.93","4998132655200"
"234080","JW생명과학","KOSPI","제약","12560","-260","-2.03","198881998240"
"001060","JW중외제약","KOSPI","제약","30100","-600","-1.95","700906493000"
"001067","JW중외제약2우B","KOSPI","제약","54700","-500","-0.91","11485523100"
"001065","JW중외제약우","KOSPI","제약","25700","-300","-1.15","8788140700"
"096760","JW홀딩스","KOSPI","기타금융","4085","-155","-3.66","301983388070"
"008970","KBI동양철관","KOSPI","금속","1850","-10","-0.54","191968777950"
"105560","KB금융","KOSPI","기타금융","158900","1100","0.70","59245937299500"
"415640","KB발해인프라","KOSPI","기타금융","9900","-90","-0.90","1213200925200"
"432320","KB스타리츠","KOSPI","부동산","2040","20","0.99","206885141400"
"002380","KCC","KOSPI","화학","623000","49000","8.54","5536271433000"
"344820","KCC글라스","KOSPI","비금속","28350","-600","-2.07","452764015200"
"009070","KCTC","KOSPI","운송·창고","5850","-160","-2.66","175500000000"
"009440","KC그린홀딩스","KOSPI","기타금융","756","0","0.00","17568790596"
"119650","KC코트렐","KOSPI","기계·장비","918","0","0.00","100782913662"
"092220","KEC","KOSPI","전기·전자","1838","0","0.00","369002653158"
"003620","KG모빌리티","KOSPI","운송장비·부품","4330","-110","-2.48","876283368960"
"016380","KG스틸","KOSPI","금속","7100","110","1.57","710063168700"
"001390","KG케미칼","KOSPI","화학","6320","-230","-3.51","424912749600"
"001940","KISCO홀딩스","KOSPI","금속","25550","-1050","-3.95","362206509000"
"025000","KPX케미칼","KOSPI","화학","54000","-100","-0.18","236450286000"
